COMPLEX_ID,DATE,NET_DAILY_STATION_ENTRIES,STATION_x,STATION_y,STOP_NAME,LINE_NAME_x,LINE_NAME_y,DIVISION,BOROUGH,WEEKDAY,GTFS_LATITUDE,GTFS_LONGITUDE,LINE,REMOTE,BOOTH,SCP,ID,ZIPCODE
10,2019-05-10,9304.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-05-11,5636.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,0,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-05-12,4783.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,0,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-05-13,8308.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-05-14,9212.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-05-15,9795.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-05-16,8261.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-05-17,10788.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-05-18,947.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,0,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-05-19,4.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,0,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-05-20,6796.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-05-21,8933.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-05-22,9579.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-05-23,9571.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-05-24,8764.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-05-25,5504.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,0,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-05-26,5228.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,0,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-05-27,4136.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-05-28,8022.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-05-29,9661.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-05-30,9390.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-05-31,9082.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-01,883.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,0,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-02,10.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,0,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-03,6803.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-04,8639.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-05,9602.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-06,9475.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-07,9384.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-08,5560.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,0,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-09,4895.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,0,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-10,8108.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-11,8565.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-12,9801.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-13,9549.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-14,9125.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-15,5233.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,0,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-16,3947.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,0,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-17,7955.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-18,9105.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-19,9417.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-20,9179.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-21,8831.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-22,5182.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,0,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-23,4254.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,0,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-24,7884.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-25,8871.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-26,9425.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-27,9477.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
10,2019-06-28,9169.0,49 ST-7 AVE,49 ST,49 St,NQR,NQRW,BMT,M,1,40.759901,-73.984139,Broadway - Brighton,R081,A013,01-00-00,A013 - R081 - 01-00-00,10019
